,u,x,v,c
0,0.0,1.0,0.0,100.0
1,5.0,1.0,0.0,102.5
2,10.0,1.0,0.5,135.0
3,5.0,1.05,0.5,117.75
4,10.0,1.1,0.9750000000000001,186.0625
5,10.0,1.1975,1.425,277.463125
6,10.0,1.34,1.8262500000000002,387.07890625000005
7,10.0,1.5226250000000001,2.15625,497.7300953125
8,10.0,1.73825,2.3949375,590.4238691406251
9,20.0,1.9777437500000001,3.5258125000000002,1283.1849125820315
10,0.0,2.330325,2.536940625,654.5182340400391
11,5.0,2.5840190625000004,1.871778125,386.96316145918956
12,5.0,2.7711968750000002,1.07976859375,178.56448360586182
13,10.0,2.879173734375,0.6941701562499997,135.4818661043032
14,10.0,2.94859075,0.2545832890624996,106.4637062055443
15,0.0,2.97404907890625,-1.2197120859375006,243.64691807001228
16,20.0,2.8520778703125,-0.7067366253906254,162.55133547448145
17,15.0,2.7814042077734373,-0.6327755605468752,123.59974459514454
18,15.0,2.71812665171875,-0.5234776644335939,101.47347530696331
19,15.0,2.6657788852753903,-0.38254099029296884,81.45991333328666
20,15.0,2.6275247862460933,-0.215430432930664,66.51976287858984
21,0.0,2.605981742953027,-1.5291928260537107,270.5644572046523
22,20.0,2.453062460347656,-0.8321836975302241,129.7795299411347
23,15.0,2.3698440905946336,-0.5587149277040522,67.39470217871158
24,15.0,2.3139725978242285,-0.24363697300136888,38.29377667977644
25,10.0,2.2896089005240916,-0.4006232719134832,34.43723212614378
26,10.0,2.249546573332743,-0.545427722175529,45.976489237970014
27,0.0,2.19500380111519,-1.6702010088419006,282.7597892385875
28,20.0,2.027983700231,-0.7677029093994956,99.01508445790685
29,10.0,1.9512134092910507,-0.7816947595149958,71.34268284862097
30,10.0,1.873043933339551,-0.7573014641605211,68.96233504815615
31,10.0,1.797313786923499,-0.6938234308302966,62.24726541404162
32,10.0,1.7279314438404694,-0.5924803242920461,52.50542339239398
33,10.0,1.6686834114112647,-0.4564460462122808,41.811367497690085
34,10.0,1.6230388067900368,-0.2907877519179133,32.66572578517531
35,10.0,1.5939600315982454,-0.10230715531293166,27.53352099679222
36,10.0,1.5837293160669523,0.1007128288879457,28.34243562046999
37,10.0,1.5938005989557469,0.3088481708544696,36.03851460488616
38,10.0,1.6246854160411939,0.5119478713765961,50.29516599391995
39,5.0,1.6758802031788536,0.1996051633559992,16.98958639297564
40,5.0,1.6958407195144534,-0.13833493823342752,13.664942304153165
41,12.0,1.6820072256911107,0.21374470200934576,29.080620214972825
42,8.0,1.7033816958920454,0.17274108916379038,18.182190221737166
43,10.0,1.7206558048084244,0.3210502412177677,28.11064367732159
44,10.0,1.7527608289302012,0.4607223388135555,37.339228119311386
45,10.0,1.7988330628115567,0.5843419243484549,48.19236211690344
46,10.0,1.8572672552464022,0.6849253929426766,58.949543032257566
47,12.0,1.92575979454067,0.9562917653194755,106.40055485244824
48,8.0,2.0213889710726174,0.7934118680491404,69.39598804447719
49,20.0,2.1007301578775315,1.7827173825128317,358.8227830619435
50,0.0,2.2790018961288148,0.732352303574066,61.41819545937149
